word,commonly_confused_with
affect,effect
complement,compliment
discreet,discrete
elicit,illicit
stationary,stationery
principal,principle
disburse,disperse
allude,elude
adverse,averse
eminent,imminent
flout,flaunt
precede,proceed
ingenious,ingenuous
deprecate,depreciate
venal,venial
credible,credulous
tortuous,torturous
censor,censure
council,counsel
compliant,complaisant
defer,differ
emigrate,immigrate
exalt,exult
gourmet,gourmand
